Region,Annee,Frequentation
AUVERGNE-RHONE-ALPES,1992,"13,72"
BOURGOGNE-FRANCHE-COMTE,1992,"3,73"
BRETAGNE,1992,"4,68"
CENTRE-VAL DE LOIRE,1992,"3,18"
CORSE,1992,"0,28"
GRAND EST,1992,"7,79"
HAUTS-DE-FRANCE,1992,"6,75"
ILE-DE-FRANCE,1992,"40,88"
NORMANDIE,1992,"4,53"
NOUVELLE AQUITAINE,1992,"7,94"
OCCITANIE,1992,"7,99"
PAYS DE LA LOIRE,1992,"4,70"
PROVENCE-ALPES-COTE D'AZUR,1992,"9,83"
AUVERGNE-RHONE-ALPES,1993,"15,76"
BOURGOGNE-FRANCHE-COMTE,1993,"4,63"
BRETAGNE,1993,"5,49"
CENTRE-VAL DE LOIRE,1993,"3,66"
CORSE,1993,"0,33"
GRAND EST,1993,"9,21"
HAUTS-DE-FRANCE,1993,"8,60"
ILE-DE-FRANCE,1993,"44,19"
NORMANDIE,1993,"5,52"
NOUVELLE AQUITAINE,1993,"9,24"
OCCITANIE,1993,"9,39"
PAYS DE LA LOIRE,1993,"5,49"
PROVENCE-ALPES-COTE D'AZUR,1993,"11,22"
AUVERGNE-RHONE-ALPES,1994,"14,61"
BOURGOGNE-FRANCHE-COMTE,1994,"4,20"
BRETAGNE,1994,"5,21"
CENTRE-VAL DE LOIRE,1994,"3,58"
CORSE,1994,"0,28"
GRAND EST,1994,"8,58"
HAUTS-DE-FRANCE,1994,"7,46"
ILE-DE-FRANCE,1994,"42,08"
NORMANDIE,1994,"5,02"
NOUVELLE AQUITAINE,1994,"8,69"
OCCITANIE,1994,"8,85"
PAYS DE LA LOIRE,1994,"5,03"
PROVENCE-ALPES-COTE D'AZUR,1994,"10,82"
AUVERGNE-RHONE-ALPES,1995,"15,48"
BOURGOGNE-FRANCHE-COMTE,1995,"4,52"
BRETAGNE,1995,"5,37"
CENTRE-VAL DE LOIRE,1995,"3,88"
CORSE,1995,"0,30"
GRAND EST,1995,"9,52"
HAUTS-DE-FRANCE,1995,"8,07"
ILE-DE-FRANCE,1995,"41,29"
NORMANDIE,1995,"5,34"
NOUVELLE AQUITAINE,1995,"9,47"
OCCITANIE,1995,"9,51"
PAYS DE LA LOIRE,1995,"5,44"
PROVENCE-ALPES-COTE D'AZUR,1995,"12,07"
AUVERGNE-RHONE-ALPES,1996,"16,45"
BOURGOGNE-FRANCHE-COMTE,1996,"4,57"
BRETAGNE,1996,"5,55"
CENTRE-VAL DE LOIRE,1996,"4,20"
CORSE,1996,"0,30"
GRAND EST,1996,"9,87"
HAUTS-DE-FRANCE,1996,"9,10"
ILE-DE-FRANCE,1996,"43,15"
NORMANDIE,1996,"5,69"
NOUVELLE AQUITAINE,1996,"9,96"
OCCITANIE,1996,"9,81"
PAYS DE LA LOIRE,1996,"6,05"
PROVENCE-ALPES-COTE D'AZUR,1996,"12,04"
AUVERGNE-RHONE-ALPES,1997,"17,73"
BOURGOGNE-FRANCHE-COMTE,1997,"4,89"
BRETAGNE,1997,"5,96"
CENTRE-VAL DE LOIRE,1997,"4,50"
CORSE,1997,"0,32"
GRAND EST,1997,"10,93"
HAUTS-DE-FRANCE,1997,"10,88"
ILE-DE-FRANCE,1997,"45,60"
NORMANDIE,1997,"6,12"
NOUVELLE AQUITAINE,1997,"10,93"
OCCITANIE,1997,"10,89"
PAYS DE LA LOIRE,1997,"7,07"
PROVENCE-ALPES-COTE D'AZUR,1997,"13,44"
AUVERGNE-RHONE-ALPES,1998,"20,86"
BOURGOGNE-FRANCHE-COMTE,1998,"5,74"
BRETAGNE,1998,"6,94"
CENTRE-VAL DE LOIRE,1998,"5,18"
CORSE,1998,"0,39"
GRAND EST,1998,"12,51"
HAUTS-DE-FRANCE,1998,"12,74"
ILE-DE-FRANCE,1998,"48,46"
NORMANDIE,1998,"7,46"
NOUVELLE AQUITAINE,1998,"13,19"
OCCITANIE,1998,"13,10"
PAYS DE LA LOIRE,1998,"8,41"
PROVENCE-ALPES-COTE D'AZUR,1998,"15,63"
AUVERGNE-RHONE-ALPES,1999,"18,39"
BOURGOGNE-FRANCHE-COMTE,1999,"4,86"
BRETAGNE,1999,"6,08"
CENTRE-VAL DE LOIRE,1999,"4,46"
CORSE,1999,"0,32"
GRAND EST,1999,"11,13"
HAUTS-DE-FRANCE,1999,"11,28"
