Région,Année,Fréquentation
AUVERGNE-RHONE-ALPES,1992,343
BOURGOGNE-FRANCHE-COMTE,1992,106
BRETAGNE,1992,136
CENTRE-VAL DE LOIRE,1992,64
CORSE,1992,21
GRAND EST,1992,140
HAUTS-DE-FRANCE,1992,130
ILE-DE-FRANCE,1992,314
NORMANDIE,1992,108
NOUVELLE AQUITAINE,1992,250
OCCITANIE,1992,212
PAYS DE LA LOIRE,1992,136
PROVENCE-ALPES-COTE D'AZUR,1992,180
AUVERGNE-RHONE-ALPES,1993,336
BOURGOGNE-FRANCHE-COMTE,1993,105
BRETAGNE,1993,135
CENTRE-VAL DE LOIRE,1993,64
CORSE,1993,20
GRAND EST,1993,130
HAUTS-DE-FRANCE,1993,128
ILE-DE-FRANCE,1993,316
NORMANDIE,1993,106
NOUVELLE AQUITAINE,1993,240
OCCITANIE,1993,211
PAYS DE LA LOIRE,1993,134
PROVENCE-ALPES-COTE D'AZUR,1993,185
AUVERGNE-RHONE-ALPES,1994,335
BOURGOGNE-FRANCHE-COMTE,1994,103
BRETAGNE,1994,137
CENTRE-VAL DE LOIRE,1994,64
CORSE,1994,20
GRAND EST,1994,131
HAUTS-DE-FRANCE,1994,131
ILE-DE-FRANCE,1994,311
NORMANDIE,1994,105
NOUVELLE AQUITAINE,1994,238
OCCITANIE,1994,218
PAYS DE LA LOIRE,1994,134
PROVENCE-ALPES-COTE D'AZUR,1994,179
AUVERGNE-RHONE-ALPES,1995,342
BOURGOGNE-FRANCHE-COMTE,1995,106
BRETAGNE,1995,136
CENTRE-VAL DE LOIRE,1995,64
CORSE,1995,22
GRAND EST,1995,132
HAUTS-DE-FRANCE,1995,131
ILE-DE-FRANCE,1995,313
NORMANDIE,1995,103
NOUVELLE AQUITAINE,1995,236
OCCITANIE,1995,217
PAYS DE LA LOIRE,1995,134
PROVENCE-ALPES-COTE D'AZUR,1995,183
AUVERGNE-RHONE-ALPES,1996,343
BOURGOGNE-FRANCHE-COMTE,1996,103
BRETAGNE,1996,137
CENTRE-VAL DE LOIRE,1996,67
CORSE,1996,23
GRAND EST,1996,134
HAUTS-DE-FRANCE,1996,135
ILE-DE-FRANCE,1996,315
NORMANDIE,1996,104
NOUVELLE AQUITAINE,1996,238
OCCITANIE,1996,216
PAYS DE LA LOIRE,1996,138
PROVENCE-ALPES-COTE D'AZUR,1996,188
